locus_tag	ftype	length_bp	gene	EC_number	COG	product
AOKDPPHH_02259	CDS	135				hypothetical protein
AOKDPPHH_02260	CDS	618				hypothetical protein
AOKDPPHH_02261	CDS	393				hypothetical protein
AOKDPPHH_02262	CDS	432				hypothetical protein
AOKDPPHH_02263	CDS	846	sldA	1.1.99.22		Glycerol dehydrogenase large subunit
AOKDPPHH_02264	CDS	1542				hypothetical protein
AOKDPPHH_02265	CDS	2715	gyrA	5.6.2.2	COG0188	DNA gyrase subunit A
AOKDPPHH_02266	CDS	1065	mtnA	5.3.1.23	COG0182	Methylthioribose-1-phosphate isomerase
AOKDPPHH_02267	CDS	741				hypothetical protein
AOKDPPHH_02268	CDS	957	epmA	6.3.1.-	COG2269	Elongation factor P--(R)-beta-lysine ligase
AOKDPPHH_02269	CDS	429				hypothetical protein
AOKDPPHH_02270	CDS	2466	ligA	6.5.1.2		DNA ligase
AOKDPPHH_02271	CDS	150				hypothetical protein
AOKDPPHH_02272	CDS	990	hisC_3	2.6.1.9	COG0079	Histidinol-phosphate aminotransferase
AOKDPPHH_02273	CDS	741	zipA			Cell division protein ZipA
AOKDPPHH_02274	CDS	3504	smc_2		COG1196	Chromosome partition protein Smc
AOKDPPHH_02275	CDS	450	rplI		COG0359	50S ribosomal protein L9
AOKDPPHH_02276	CDS	231	rpsR		COG0238	30S ribosomal protein S18
AOKDPPHH_02277	CDS	438	rpsF		COG0360	30S ribosomal protein S6
AOKDPPHH_02278	CDS	339	sufA		COG0316	Protein SufA
AOKDPPHH_02279	CDS	1395	asnS	6.1.1.22	COG0017	Asparagine--tRNA ligase
AOKDPPHH_02280	CDS	300				hypothetical protein
AOKDPPHH_02281	CDS	315				hypothetical protein
AOKDPPHH_02282	CDS	639	paiB		COG2808	Protease synthase and sporulation protein PAI 2
AOKDPPHH_02283	CDS	663	can	4.2.1.1	COG0288	Carbonic anhydrase 2
AOKDPPHH_02284	CDS	522	nbaC	1.13.11.6		3-hydroxyanthranilate 3,4-dioxygenase
AOKDPPHH_02285	CDS	1275	kynU	3.7.1.3		Kynureninase
AOKDPPHH_02286	CDS	1368	kmo_1	1.14.13.9		Kynurenine 3-monooxygenase
AOKDPPHH_02287	CDS	1440	sbcB	3.1.11.1	COG2925	Exodeoxyribonuclease I
AOKDPPHH_02288	CDS	687				hypothetical protein
AOKDPPHH_02289	CDS	981	yajO_1	1.1.-.-	COG0667	1-deoxyxylulose-5-phosphate synthase YajO
AOKDPPHH_02290	CDS	552				hypothetical protein
AOKDPPHH_02291	CDS	1764	nadK	2.7.1.23		NAD kinase
AOKDPPHH_02292	CDS	1329	gdh_1	1.4.1.2	COG2902	NAD-specific glutamate dehydrogenase
AOKDPPHH_02293	CDS	357	gdh_2	1.4.1.2	COG2902	NAD-specific glutamate dehydrogenase
AOKDPPHH_02294	CDS	3396	gdh_3	1.4.1.2	COG2902	NAD-specific glutamate dehydrogenase
AOKDPPHH_02295	CDS	657				hypothetical protein
AOKDPPHH_02296	CDS	1320	mexA_2			Multidrug resistance protein MexA
AOKDPPHH_02297	CDS	3174	acrB_2		COG0841	Multidrug efflux pump subunit AcrB
AOKDPPHH_02298	CDS	288				hypothetical protein
AOKDPPHH_02299	CDS	1149	bcd_1	1.3.8.1	COG1960	Acyl-CoA dehydrogenase, short-chain specific
AOKDPPHH_02300	CDS	930	COQ5_3	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
AOKDPPHH_02301	CDS	1092	metH_1	2.1.1.13	COG0646	Methionine synthase
AOKDPPHH_02302	CDS	2685	metH_2	2.1.1.13	COG0646	Methionine synthase
AOKDPPHH_02303	CDS	669				hypothetical protein
AOKDPPHH_02304	CDS	240	slyX		COG2900	Protein SlyX 
AOKDPPHH_02305	CDS	1350	tuaD	1.1.1.22	COG1004	UDP-glucose 6-dehydrogenase TuaD
AOKDPPHH_02306	CDS	978				hypothetical protein
AOKDPPHH_02307	CDS	588	btuE_1	1.11.1.15		Thioredoxin/glutathione peroxidase BtuE
AOKDPPHH_02308	CDS	606				hypothetical protein
AOKDPPHH_02309	CDS	891	btuD_5	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
AOKDPPHH_02310	CDS	1026				hypothetical protein
AOKDPPHH_02311	CDS	885				hypothetical protein
AOKDPPHH_02312	CDS	612				hypothetical protein
AOKDPPHH_02313	CDS	459				hypothetical protein
AOKDPPHH_02314	CDS	1437	fumC	4.2.1.2	COG0114	Fumarate hydratase class II
AOKDPPHH_02315	CDS	1368	purB	4.3.2.2	COG0015	Adenylosuccinate lyase
AOKDPPHH_02316	CDS	1410				hypothetical protein
AOKDPPHH_02317	CDS	903				hypothetical protein
AOKDPPHH_02318	CDS	2832	sucA	1.2.4.2	COG0567	2-oxoglutarate dehydrogenase E1 component
AOKDPPHH_02319	CDS	1206	sucB	2.3.1.61	COG0508	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex
AOKDPPHH_02320	CDS	1437	lpd	1.8.1.4		Dihydrolipoyl dehydrogenase
AOKDPPHH_02321	CDS	258				hypothetical protein
AOKDPPHH_02322	CDS	219				hypothetical protein
AOKDPPHH_02323	CDS	1362	phoD	3.1.3.1	COG3540	Alkaline phosphatase D
AOKDPPHH_02324	CDS	1761	btuB_18			Vitamin B12 transporter BtuB
AOKDPPHH_02325	CDS	639				hypothetical protein
AOKDPPHH_02326	CDS	1425	dnaB	3.6.4.12	COG0305	Replicative DNA helicase
AOKDPPHH_02327	CDS	561		1.6.5.7		2-hydroxy-1,4-benzoquinone reductase
AOKDPPHH_02328	CDS	807	asnB_2	6.3.5.4	COG0367	Putative asparagine synthetase [glutamine-hydrolyzing]
AOKDPPHH_02329	CDS	246				hypothetical protein
AOKDPPHH_02330	CDS	891	asnB_3	6.3.5.4	COG0367	Asparagine synthetase [glutamine-hydrolyzing] 1
AOKDPPHH_02331	CDS	921	bkdB	1.2.4.4	COG0022	3-methyl-2-oxobutanoate dehydrogenase subunit beta
AOKDPPHH_02332	CDS	1371				hypothetical protein
AOKDPPHH_02333	CDS	660	yfcG_2	1.8.4.-	COG0625	Disulfide-bond oxidoreductase YfcG
AOKDPPHH_02334	CDS	543				hypothetical protein
AOKDPPHH_02335	CDS	843				hypothetical protein
AOKDPPHH_02336	CDS	216				hypothetical protein
AOKDPPHH_02337	CDS	768	yjjV	3.1.-.-	COG0084	putative metal-dependent hydrolase YjjV
AOKDPPHH_02338	CDS	816	tcdA	6.1.-.-	COG1179	tRNA threonylcarbamoyladenosine dehydratase
AOKDPPHH_02339	CDS	384				hypothetical protein
AOKDPPHH_02340	CDS	495				hypothetical protein
AOKDPPHH_02341	CDS	210	cspA_2		COG1278	Major cold shock protein CspA
AOKDPPHH_02342	CDS	486				hypothetical protein
AOKDPPHH_02343	CDS	1119		3.1.1.32	COG2829	Putative phospholipase A1
AOKDPPHH_02344	CDS	342	arsC_3	1.20.4.1		Arsenate reductase
AOKDPPHH_02345	CDS	636	gst_2	2.5.1.18	COG0625	Glutathione S-transferase GST-4.5
AOKDPPHH_02346	CDS	342				hypothetical protein
AOKDPPHH_02347	CDS	1518	fumB	4.2.1.2	COG1838	Fumarate hydratase class I, anaerobic
AOKDPPHH_02348	CDS	897	sigJ			ECF RNA polymerase sigma factor SigJ
AOKDPPHH_02349	CDS	450				hypothetical protein
AOKDPPHH_02350	CDS	1851	btuD_6	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
AOKDPPHH_02351	CDS	231	fpr_1	1.18.1.2	COG1018	Ferredoxin--NADP reductase
AOKDPPHH_02352	CDS	366	fpr_2	1.18.1.2	COG1018	Ferredoxin--NADP reductase
AOKDPPHH_02353	CDS	492	gpx1	1.11.1.22		Hydroperoxy fatty acid reductase gpx1
AOKDPPHH_02354	CDS	750				hypothetical protein
AOKDPPHH_02355	CDS	909	dcp_1	3.4.15.5	COG0339	Dipeptidyl carboxypeptidase
AOKDPPHH_02356	CDS	540	dcp_2	3.4.15.5	COG0339	Dipeptidyl carboxypeptidase
AOKDPPHH_02357	CDS	1116	cfa_2	2.1.1.79	COG2230	Cyclopropane-fatty-acyl-phospholipid synthase
AOKDPPHH_02358	CDS	888				hypothetical protein
AOKDPPHH_02359	CDS	210				hypothetical protein
AOKDPPHH_02360	CDS	162				hypothetical protein
AOKDPPHH_02361	CDS	627				hypothetical protein
AOKDPPHH_02362	CDS	222				hypothetical protein
AOKDPPHH_02363	CDS	1344	dtpT		COG3104	Di-/tripeptide transporter
AOKDPPHH_02364	CDS	918				hypothetical protein
AOKDPPHH_02365	CDS	612	sodB_3	1.15.1.1		Superoxide dismutase [Mn/Fe]
AOKDPPHH_02366	CDS	486				hypothetical protein
AOKDPPHH_02367	CDS	414				hypothetical protein
AOKDPPHH_02368	CDS	228				hypothetical protein
AOKDPPHH_02369	CDS	1389				hypothetical protein
AOKDPPHH_02370	CDS	600	nfuA		COG0316	Fe/S biogenesis protein NfuA
AOKDPPHH_02371	CDS	351		4.2.1.96		Putative pterin-4-alpha-carbinolamine dehydratase
AOKDPPHH_02372	CDS	414				hypothetical protein
AOKDPPHH_02373	CDS	864	zupT		COG0428	Zinc transporter ZupT
AOKDPPHH_02374	CDS	975	rluC	5.4.99.24	COG0564	Ribosomal large subunit pseudouridine synthase C
AOKDPPHH_02375	CDS	1689	rne	3.1.26.12	COG1530	Ribonuclease E
AOKDPPHH_02376	CDS	612				hypothetical protein
AOKDPPHH_02377	CDS	933				hypothetical protein
AOKDPPHH_02378	CDS	885				hypothetical protein
AOKDPPHH_02379	CDS	3168				hypothetical protein
AOKDPPHH_02380	CDS	837	araQ		COG0395	L-arabinose transport system permease protein AraQ
AOKDPPHH_02381	CDS	882	lacF			Lactose transport system permease protein LacF
AOKDPPHH_02382	CDS	1380	dasA		COG1653	Diacetylchitobiose binding protein DasA
AOKDPPHH_02383	CDS	1605				hypothetical protein
AOKDPPHH_02384	CDS	2559				hypothetical protein
AOKDPPHH_02385	CDS	525				hypothetical protein
AOKDPPHH_02386	CDS	321	purR			HTH-type transcriptional repressor PurR
AOKDPPHH_02387	CDS	612	ccpA_1		COG1609	Catabolite control protein A
AOKDPPHH_02388	CDS	276	bolA		COG0271	DNA-binding transcriptional regulator BolA
AOKDPPHH_02389	CDS	306	yciI		COG2350	Protein YciI
AOKDPPHH_02390	CDS	840	scpA		COG1354	Segregation and condensation protein A
AOKDPPHH_02391	CDS	762	scpB			Segregation and condensation protein B
AOKDPPHH_02392	CDS	1581				hypothetical protein
AOKDPPHH_02393	CDS	435				hypothetical protein
AOKDPPHH_02394	CDS	807	yafV	3.5.1.3		Omega-amidase YafV
AOKDPPHH_02395	CDS	999	ybdL	2.6.1.88	COG0436	Methionine aminotransferase
AOKDPPHH_02396	CDS	129				hypothetical protein
AOKDPPHH_02397	CDS	615	ccmA	7.6.2.5	COG4133	Cytochrome c biogenesis ATP-binding export protein CcmA
AOKDPPHH_02398	CDS	696	ccmB		COG2386	Heme exporter protein B
AOKDPPHH_02399	CDS	636	ccmC		COG0755	Heme exporter protein C
AOKDPPHH_02400	CDS	141				hypothetical protein
AOKDPPHH_02401	CDS	189				hypothetical protein
AOKDPPHH_02402	CDS	477	ccmE		COG2332	Cytochrome c-type biogenesis protein CcmE
AOKDPPHH_02403	CDS	1920	ccmF		COG1138	Cytochrome c-type biogenesis protein CcmF
AOKDPPHH_02404	CDS	618	resA_3			Thiol-disulfide oxidoreductase ResA
AOKDPPHH_02405	CDS	483				hypothetical protein
AOKDPPHH_02406	CDS	942				hypothetical protein
AOKDPPHH_02407	CDS	1113		2.3.1.-		Serine O-succinyltransferase
AOKDPPHH_02408	CDS	342				hypothetical protein
AOKDPPHH_02409	CDS	1674	msbA	7.5.2.6	COG1132	Lipid A export ATP-binding/permease protein MsbA
AOKDPPHH_02410	CDS	1668	cydD		COG4988	ATP-binding/permease protein CydD
AOKDPPHH_02411	CDS	1368	cydA	1.10.3.-	COG1271	Cytochrome bd ubiquinol oxidase subunit 1
AOKDPPHH_02412	CDS	1428	cydB_1	7.1.1.7	COG1294	Cytochrome bd-I ubiquinol oxidase subunit 2
AOKDPPHH_02413	CDS	117				hypothetical protein
AOKDPPHH_02414	tRNA	77				tRNA-Pro(cgg)
AOKDPPHH_02415	tRNA	77				tRNA-Pro(cgg)
AOKDPPHH_02416	CDS	1206	yycB		COG2807	putative transporter YycB
AOKDPPHH_02417	CDS	726	proA_1	1.2.1.41	COG0014	Gamma-glutamyl phosphate reductase
AOKDPPHH_02418	CDS	549	proA_2	1.2.1.41		Gamma-glutamyl phosphate reductase
AOKDPPHH_02419	CDS	279	proB_1	2.7.2.11	COG0263	Glutamate 5-kinase
AOKDPPHH_02420	CDS	882	proB_2	2.7.2.11		Glutamate 5-kinase
AOKDPPHH_02421	CDS	264				hypothetical protein
AOKDPPHH_02422	CDS	1296	argH	4.3.2.1	COG0165	Argininosuccinate lyase
AOKDPPHH_02423	CDS	402	argC_1	1.2.1.38	COG0002	N-acetyl-gamma-glutamyl-phosphate reductase
AOKDPPHH_02424	CDS	552	argC_2	1.2.1.38		N-acetyl-gamma-glutamyl-phosphate reductase
AOKDPPHH_02425	CDS	603				hypothetical protein
AOKDPPHH_02426	CDS	1329	argB	2.7.2.8		Acetylglutamate kinase
AOKDPPHH_02427	CDS	1089	argE'	3.5.1.-	COG0624	N-acetyl-L-citrulline deacetylase
AOKDPPHH_02428	CDS	1227	argG	6.3.4.5	COG0137	Argininosuccinate synthase
AOKDPPHH_02429	CDS	1011	argF'	2.1.3.9	COG0078	N-acetylornithine carbamoyltransferase
AOKDPPHH_02430	CDS	483				hypothetical protein
AOKDPPHH_02431	CDS	345	cysS_1	6.1.1.16	COG0215	Cysteine--tRNA ligase
AOKDPPHH_02432	CDS	1077	cysS_2	6.1.1.16	COG0215	Cysteine--tRNA ligase
AOKDPPHH_02433	CDS	453	sufE		COG2166	Cysteine desulfuration protein SufE
AOKDPPHH_02434	CDS	1248	entS_2			Enterobactin exporter EntS
AOKDPPHH_02435	CDS	582	dksA_2			RNA polymerase-binding transcription factor DksA
AOKDPPHH_02436	CDS	711				hypothetical protein
AOKDPPHH_02437	CDS	1347	allB	3.5.2.5	COG0044	Allantoinase
AOKDPPHH_02438	CDS	813				hypothetical protein
AOKDPPHH_02439	CDS	705				hypothetical protein
AOKDPPHH_02440	CDS	696	mupP	3.1.3.105	COG0546	N-acetylmuramic acid 6-phosphate phosphatase
AOKDPPHH_02441	CDS	222	ubiG	2.1.1.222	COG2227	Ubiquinone biosynthesis O-methyltransferase
AOKDPPHH_02442	CDS	1344	dadD_2	3.5.4.31		5'-deoxyadenosine deaminase
AOKDPPHH_02443	CDS	567	efp		COG0231	Elongation factor P
AOKDPPHH_02444	CDS	627				hypothetical protein
AOKDPPHH_02445	CDS	411	epmB	5.4.3.-	COG1509	L-lysine 2,3-aminomutase
AOKDPPHH_02446	CDS	2127				hypothetical protein
AOKDPPHH_02447	CDS	876				hypothetical protein
AOKDPPHH_02448	CDS	771	trmJ	2.1.1.-		tRNA (cytidine/uridine/adenosine-2'-O-)-methyltransferase TrmJ
AOKDPPHH_02449	CDS	828	suhB	3.1.3.25	COG0483	Inositol-1-monophosphatase
AOKDPPHH_02450	CDS	771	htpX	3.4.24.-	COG0501	Protease HtpX
AOKDPPHH_02451	CDS	99				hypothetical protein
AOKDPPHH_02452	CDS	426				hypothetical protein
AOKDPPHH_02453	CDS	741	phaB_1	1.1.1.36		Acetoacetyl-CoA reductase
AOKDPPHH_02454	CDS	534				hypothetical protein
AOKDPPHH_02455	CDS	948				hypothetical protein
AOKDPPHH_02456	CDS	930				hypothetical protein
AOKDPPHH_02457	CDS	1896	mutL			DNA mismatch repair protein MutL
AOKDPPHH_02458	CDS	1539				hypothetical protein
AOKDPPHH_02459	CDS	516				hypothetical protein
AOKDPPHH_02460	CDS	1485	nnr		COG0062	Bifunctional NAD(P)H-hydrate repair enzyme Nnr
AOKDPPHH_02461	CDS	687	queG_1	1.17.99.6		Epoxyqueuosine reductase
AOKDPPHH_02462	CDS	357	queG_2	1.17.99.6		Epoxyqueuosine reductase
AOKDPPHH_02463	CDS	1341	xseA	3.1.11.6	COG1570	Exodeoxyribonuclease 7 large subunit
AOKDPPHH_02464	CDS	897	bepA_5	3.4.-.-		Beta-barrel assembly-enhancing protease
AOKDPPHH_02465	tRNA	88				tRNA-Trp(cca)
AOKDPPHH_02466	CDS	1080	rnd	3.1.13.5	COG0349	Ribonuclease D
AOKDPPHH_02467	CDS	2331	btuB_19			Vitamin B12 transporter BtuB
AOKDPPHH_02468	tRNA	76				tRNA-Ala(cgc)
AOKDPPHH_02469	CDS	762		1.1.1.393	COG1028	3-beta-hydroxycholanate 3-dehydrogenase (NADP(+))
AOKDPPHH_02470	CDS	840	ada		COG0350	Bifunctional transcriptional activator/DNA repair enzyme Ada
AOKDPPHH_02471	CDS	1026	curA	1.3.1.-	COG2130	NADPH-dependent curcumin reductase
AOKDPPHH_02472	tRNA	76				tRNA-Phe(gaa)
AOKDPPHH_02473	tRNA	75				tRNA-Phe(gaa)
AOKDPPHH_02474	CDS	552	blc_2		COG3040	Outer membrane lipoprotein Blc
AOKDPPHH_02475	CDS	477				hypothetical protein
AOKDPPHH_02476	CDS	804	dmdC_1	1.3.8.-	COG1960	3-methylmercaptopropionyl-CoA dehydrogenase
AOKDPPHH_02477	CDS	1017	dmdC_2	1.3.8.-	COG1960	3-methylmercaptopropionyl-CoA dehydrogenase
AOKDPPHH_02478	CDS	132				hypothetical protein
AOKDPPHH_02479	CDS	1911	dxs	2.2.1.7	COG1154	1-deoxy-D-xylulose-5-phosphate synthase
AOKDPPHH_02480	CDS	204				hypothetical protein
AOKDPPHH_02481	CDS	876				hypothetical protein
AOKDPPHH_02482	CDS	177				hypothetical protein
AOKDPPHH_02483	CDS	276				hypothetical protein
AOKDPPHH_02484	CDS	234				hypothetical protein
AOKDPPHH_02485	CDS	174				hypothetical protein
AOKDPPHH_02486	CDS	573	rhtB		COG1280	Homoserine/homoserine lactone efflux protein
AOKDPPHH_02487	CDS	633				hypothetical protein
AOKDPPHH_02488	CDS	696	ygeA	5.1.1.13		L-aspartate/glutamate-specific racemase
AOKDPPHH_02489	CDS	357				hypothetical protein
AOKDPPHH_02490	CDS	300	ihfA		COG0776	Integration host factor subunit alpha
AOKDPPHH_02491	CDS	117				hypothetical protein
AOKDPPHH_02492	CDS	1308	pheT_1	6.1.1.20	COG0072	Phenylalanine--tRNA ligase beta subunit
AOKDPPHH_02493	CDS	969	pheT_2	6.1.1.20	COG0072	Phenylalanine--tRNA ligase beta subunit
AOKDPPHH_02494	CDS	1137	pheS	6.1.1.20	COG0016	Phenylalanine--tRNA ligase alpha subunit
AOKDPPHH_02495	CDS	360	rplT		COG0292	50S ribosomal protein L20
AOKDPPHH_02496	CDS	198	rpmI		COG0291	50S ribosomal protein L35
AOKDPPHH_02497	CDS	543	infC		COG0290	Translation initiation factor IF-3
AOKDPPHH_02498	CDS	231	thrS_1	6.1.1.3	COG0441	Threonine--tRNA ligase
AOKDPPHH_02499	CDS	1725	thrS_2	6.1.1.3	COG0441	Threonine--tRNA ligase
AOKDPPHH_02500	CDS	297				hypothetical protein
AOKDPPHH_02501	CDS	264				hypothetical protein
AOKDPPHH_02502	CDS	1410				hypothetical protein
AOKDPPHH_02503	CDS	825	chiA1	3.2.1.14		Chitinase A1
AOKDPPHH_02504	CDS	282				hypothetical protein
AOKDPPHH_02505	CDS	1059	nylB'	3.5.1.46		6-aminohexanoate-dimer hydrolase
AOKDPPHH_02506	CDS	1563				hypothetical protein
AOKDPPHH_02507	CDS	2109	pnp_2	2.7.7.8	COG1185	Polyribonucleotide nucleotidyltransferase
AOKDPPHH_02508	CDS	261	rpsO		COG0184	30S ribosomal protein S15
AOKDPPHH_02509	CDS	909	truB	5.4.99.25	COG0130	tRNA pseudouridine synthase B
AOKDPPHH_02510	CDS	384	rbfA		COG0858	Ribosome-binding factor A
AOKDPPHH_02511	CDS	2643	infB		COG0532	Translation initiation factor IF-2
AOKDPPHH_02512	CDS	1512	nusA		COG0195	Transcription termination/antitermination protein NusA
AOKDPPHH_02513	CDS	591	rimP		COG0779	Ribosome maturation factor RimP
AOKDPPHH_02514	tRNA	77				tRNA-Met(cat)
AOKDPPHH_02515	tRNA	77				tRNA-Met(cat)
AOKDPPHH_02516	CDS	1461	nuoN	7.1.1.-	COG1007	NADH-quinone oxidoreductase subunit N
AOKDPPHH_02517	CDS	1509	nuoM	7.1.1.-	COG1008	NADH-quinone oxidoreductase subunit M
AOKDPPHH_02518	CDS	2163	nuoL	7.1.1.-	COG1009	NADH-quinone oxidoreductase subunit L
AOKDPPHH_02519	CDS	306	nuoK	7.1.1.-	COG0713	NADH-quinone oxidoreductase subunit K
AOKDPPHH_02520	CDS	660	nuoJ	7.1.1.-	COG0839	NADH-quinone oxidoreductase subunit J
AOKDPPHH_02521	CDS	489	nuoI	7.1.1.-	COG1143	NADH-quinone oxidoreductase subunit I
AOKDPPHH_02522	CDS	1095	nuoH	7.1.1.-	COG1005	NADH-quinone oxidoreductase subunit H
AOKDPPHH_02523	CDS	2235	nqo3	7.1.1.-	COG1034	NADH-quinone oxidoreductase chain 3
AOKDPPHH_02524	CDS	1161	nuoF	7.1.1.-		NADH-quinone oxidoreductase subunit F
AOKDPPHH_02525	CDS	528	nqo2	7.1.1.-	COG1905	NADH-quinone oxidoreductase chain 2
AOKDPPHH_02526	CDS	1308	nuoD	7.1.1.-	COG0649	NADH-quinone oxidoreductase subunit D
AOKDPPHH_02527	CDS	747	ndhJ	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit J, chloroplastic
AOKDPPHH_02528	CDS	555	nuoB	7.1.1.-	COG0377	NADH-quinone oxidoreductase subunit B
AOKDPPHH_02529	CDS	405	ndhC	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 3
AOKDPPHH_02530	tRNA	85				tRNA-Leu(gag)
AOKDPPHH_02531	CDS	438				hypothetical protein
AOKDPPHH_02532	CDS	384	tpiA	5.3.1.1	COG0149	Triosephosphate isomerase
AOKDPPHH_02533	CDS	303				hypothetical protein
AOKDPPHH_02534	CDS	936	vldW	1.14.11.52		Validamycin A dioxygenase
AOKDPPHH_02535	CDS	1884	yejM		COG3083	Inner membrane protein YejM
AOKDPPHH_02536	CDS	1146	mshA_3	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
AOKDPPHH_02537	CDS	858				hypothetical protein
AOKDPPHH_02538	CDS	1365	glmM_1	5.4.2.10	COG1109	Phosphoglucosamine mutase
AOKDPPHH_02539	CDS	876	accD	2.1.3.15	COG0777	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
AOKDPPHH_02540	CDS	810	trpA	4.2.1.20	COG0159	Tryptophan synthase alpha chain
AOKDPPHH_02541	CDS	681				hypothetical protein
AOKDPPHH_02542	CDS	1218	trpB	4.2.1.20	COG0133	Tryptophan synthase beta chain
AOKDPPHH_02543	CDS	888	trpI			HTH-type transcriptional regulator TrpI
AOKDPPHH_02544	CDS	189	trpF_1	5.3.1.24		N-(5'-phosphoribosyl)anthranilate isomerase
AOKDPPHH_02545	CDS	501	trpF_2	5.3.1.24		N-(5'-phosphoribosyl)anthranilate isomerase
AOKDPPHH_02546	CDS	771	truA	5.4.99.12	COG0101	tRNA pseudouridine synthase A
AOKDPPHH_02547	CDS	162				hypothetical protein
AOKDPPHH_02548	CDS	1917				hypothetical protein
AOKDPPHH_02549	CDS	1029	asd2	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase 2
AOKDPPHH_02550	CDS	1116	ghrB	1.1.1.79	COG1052	Glyoxylate/hydroxypyruvate reductase B
AOKDPPHH_02551	CDS	1104	aroC	4.2.3.5		Chorismate synthase
AOKDPPHH_02552	CDS	930	prmB	2.1.1.298	COG2890	50S ribosomal protein L3 glutamine methyltransferase
AOKDPPHH_02553	CDS	630				hypothetical protein
AOKDPPHH_02554	CDS	843	psd	4.1.1.65	COG0688	Phosphatidylserine decarboxylase proenzyme
AOKDPPHH_02555	CDS	348				hypothetical protein
AOKDPPHH_02556	CDS	1611				hypothetical protein
AOKDPPHH_02557	CDS	1506				hypothetical protein
AOKDPPHH_02558	CDS	507	greB		COG0782	Transcription elongation factor GreB
AOKDPPHH_02559	CDS	828				hypothetical protein
AOKDPPHH_02560	CDS	1362	rimO	2.8.4.4	COG0621	Ribosomal protein S12 methylthiotransferase RimO
AOKDPPHH_02561	CDS	480				hypothetical protein
AOKDPPHH_02562	CDS	414				hypothetical protein
AOKDPPHH_02563	CDS	294				hypothetical protein
AOKDPPHH_02564	CDS	423				hypothetical protein
AOKDPPHH_02565	CDS	168				hypothetical protein
AOKDPPHH_02566	CDS	573	dcd	3.5.4.13		dCTP deaminase
AOKDPPHH_02567	CDS	894	apbC		COG0489	Iron-sulfur cluster carrier protein
AOKDPPHH_02568	CDS	2952	btuB_20			Vitamin B12 transporter BtuB
AOKDPPHH_02569	CDS	2034				hypothetical protein
AOKDPPHH_02570	CDS	2106	pepO_3	3.4.24.-	COG3590	Neutral endopeptidase
AOKDPPHH_02571	CDS	2007	pepO_4	3.4.24.-	COG3590	Neutral endopeptidase
AOKDPPHH_02572	CDS	483				hypothetical protein
AOKDPPHH_02573	CDS	1587			COG1233	putative protein
AOKDPPHH_02574	CDS	801				hypothetical protein
AOKDPPHH_02575	CDS	1308				hypothetical protein
AOKDPPHH_02576	CDS	1359	garB	1.8.1.16		Glutathione amide reductase
AOKDPPHH_02577	CDS	1068	dadA1_2	1.4.99.-	COG0665	D-amino acid dehydrogenase 1
AOKDPPHH_02578	CDS	1245				hypothetical protein
AOKDPPHH_02579	CDS	483	slyD	5.2.1.8	COG1047	FKBP-type peptidyl-prolyl cis-trans isomerase SlyD
AOKDPPHH_02580	CDS	357	mepH_1	3.4.-.-	COG0791	Murein DD-endopeptidase MepH
AOKDPPHH_02581	CDS	606				hypothetical protein
AOKDPPHH_02582	CDS	225	mepH_2	3.4.-.-	COG0791	Murein DD-endopeptidase MepH
AOKDPPHH_02583	CDS	1335	dctA2		COG1301	C4-dicarboxylate transport protein 2
AOKDPPHH_02584	CDS	1704				hypothetical protein
AOKDPPHH_02585	CDS	1116	tilS	6.3.4.19		tRNA(Ile)-lysidine synthase
AOKDPPHH_02586	CDS	204				hypothetical protein
AOKDPPHH_02587	CDS	261	xseB	3.1.11.6	COG1722	Exodeoxyribonuclease 7 small subunit
AOKDPPHH_02588	CDS	879	ispA	2.5.1.10	COG0142	Farnesyl diphosphate synthase
AOKDPPHH_02589	CDS	375				hypothetical protein
AOKDPPHH_02590	CDS	1347	pmbA	3.4.-.-	COG0312	Metalloprotease PmbA
AOKDPPHH_02591	CDS	591				hypothetical protein
AOKDPPHH_02592	CDS	240	tldD_1	3.4.-.-	COG0312	Metalloprotease TldD
AOKDPPHH_02593	CDS	3852				hypothetical protein
AOKDPPHH_02594	CDS	1488	rng	3.1.26.-	COG1530	Ribonuclease G
AOKDPPHH_02595	CDS	687	yhdE	3.6.1.9	COG0424	dTTP/UTP pyrophosphatase
AOKDPPHH_02596	CDS	735			COG2968	26 kDa periplasmic immunogenic protein
AOKDPPHH_02597	CDS	336				hypothetical protein
AOKDPPHH_02598	CDS	315				hypothetical protein
AOKDPPHH_02599	CDS	2808	btuB_21			Vitamin B12 transporter BtuB
AOKDPPHH_02600	CDS	696	arcD_1		COG0531	Arginine/ornithine antiporter
AOKDPPHH_02601	CDS	825	arcD_2		COG0531	Arginine/ornithine antiporter
AOKDPPHH_02602	tRNA	77				tRNA-Asn(gtt)
AOKDPPHH_02603	CDS	471	rlmH	2.1.1.177	COG1576	Ribosomal RNA large subunit methyltransferase H
